feature,bucket,n,coverage_pct,win_rate,expectancy_r,lift_r,t_stat,coins_positive,years_positive
atr_pct,1.08..311,319343,12.500004892860064,0.34300109913165466,-0.08469043615059824,0.22002011162123886,-35.10175530578955,0.0,0.0
dist_low_20,3.14..1.08e+03,319309,12.498674034922495,0.33678662361536943,-0.12314059988961897,0.18156994788221814,-50.9801947074234,0.0,0.0
dist_high_20,3.07..237,319310,12.498713177803012,0.33760608812752496,-0.12677479943180325,0.17793574834003384,-52.8507498633149,0.0,0.0
dd_30d,-87..-33.6,319179,12.493585460455318,0.3380767531698514,-0.13320768285068288,0.1715028649211542,-54.181078379644866,0.0,0.0
bb_width_pctile,0.879..1,317697,12.435575711529497,0.34907159966886686,-0.1343838053721339,0.1703267423997032,-55.536933203959556,0.0,0.0
ret_96,-59.3..-4.32,319176,12.493468031813768,0.33787941449231773,-0.14479776972270567,0.15991277804913143,-59.682972958360445,0.0,0.0
ret_16,1.63..135,319295,12.498126034595261,0.3304279741305063,-0.15493750526542202,0.14977304250641507,-63.54113367347001,0.0,0.0
ema200_rel,-58.9..-3.06,319343,12.500004892860064,0.33363812577698587,-0.15660421972348212,0.14810632804835497,-64.98695089974139,0.0,0.0
ret_1d_5,-59..-9.87,318426,12.464110871426206,0.33170658174897777,-0.16040549700969023,0.14430505076214686,-65.5034093861345,0.0,0.0
ema50_rel,1.38..81.8,319343,12.500004892860064,0.326658170055395,-0.1620720656595249,0.1426384821123122,-66.40831663827286,0.0,0.0
ema20_rel,0.822..56.3,319343,12.500004892860064,0.3274128444963566,-0.16465270456815903,0.14005784320367806,-67.51013311973402,0.0,0.0
ret_4,-55.6..-0.812,319336,12.499730892696448,0.32991269383971744,-0.1653966959546686,0.1393138518171685,-68.27546808204717,0.0,0.0
ret_4,0.803..56.6,319334,12.499652606935413,0.32740328308291633,-0.17030913524384864,0.13440141252798846,-70.14829054527918,0.0,0.0
ema50_rel,-56.1..-1.44,319343,12.500004892860064,0.33035012510059714,-0.17041238168483824,0.13429816608699885,-71.18132599872013,0.0,0.0
atr_pct,0.807..1.08,319343,12.500004892860064,0.32197668337806057,-0.1714481264141371,0.1332624213577,-71.2667110982306,0.0,0.0
ret_16,-56.7..-1.65,319320,12.49910460660818,0.328673431040962,-0.17295443479547865,0.13175611297635845,-72.18099668167675,0.0,0.0
ema20_rel,-52.7..-0.856,319343,12.500004892860064,0.32860591902750336,-0.1745789780301047,0.1301315697417324,-72.71688181462792,0.0,0.0
