feature,bucket,n,coverage_pct,win_rate,expectancy_r,gross_r,lift_r,t_stat,coins_positive,years_positive
atr_pct,1.08..inf,319393,12.500014676293793,0.32764024258515373,-0.18782328070679113,-0.050844911610861875,0.3997334963583875,-78.19831186598553,0.0,0.0
dist_high_20,3.07..inf,319360,12.498723162439958,0.328187625250501,-0.23603480227702697,-0.05109029786514432,0.3515219747881516,-98.4284583122672,0.0,0.0
dist_low_20,3.14..inf,319357,12.498605752089611,0.31363959456031965,-0.27749982549473934,-0.08576753493226665,0.3100569515704393,-116.36870497636042,0.0,0.0
atr_pct,0.807..1.08,319392,12.499975539510345,0.3143817002304378,-0.2970240975069995,-0.07927269979632937,0.29053267955817913,-124.20724878604001,0.0,0.0
ema50_rel,-inf..-1.44,319393,12.500014676293793,0.3215724828033175,-0.2971537306323124,-0.0673040584054623,0.29040304643286624,-124.06224101481966,0.0,0.0
ret_96,-inf..-4.32,319230,12.49363538059152,0.3222942705886038,-0.2973940664355939,-0.06039019875177226,0.2901627106295847,-123.19368351906269,0.0,0.0
ret_16,-inf..-1.65,319365,12.498918846357206,0.32130947348644967,-0.29909648392848603,-0.06611557892713227,0.2884602931366926,-124.66950305137068,0.0,0.0
ema20_rel,-inf..-0.855,319393,12.500014676293793,0.32111223477032996,-0.30354976687830704,-0.06498884749484087,0.2840070101868716,-126.07266163485151,0.0,0.0
ema200_rel,-inf..-3.06,319393,12.500014676293793,0.3181441045984101,-0.3041907876593754,-0.07457231070861885,0.2833659894058032,-126.94841174441963,0.0,0.0
dd_30d,-inf..-33.6,319228,12.493557107024623,0.3183336048216322,-0.30982519263680713,-0.061148328824641836,0.2777315844283715,-127.23019037921433,0.0,0.0
ret_4,-inf..-0.812,319387,12.499779855593097,0.3179496973890609,-0.31554887449673774,-0.06809319355191858,0.2720079025684409,-130.36658963454656,0.0,0.0
bb_width_pctile,0.879..inf,317713,12.434264880098594,0.3248592282972368,-0.3178468632957086,-0.057032068684471776,0.26970991376947,-131.70480211735065,0.0,0.0
ema200_rel,2.88..inf,319393,12.500014676293793,0.307370543499701,-0.33377460686507293,-0.08915838327755225,0.2537821702001057,-138.19774720812237,0.0,0.0
ret_1d_5,-inf..-9.87,318417,12.461817175647058,0.31506797689821836,-0.3341370205311511,-0.07270482604831968,0.25341975653402754,-137.5602535475538,0.0,0.0
up_from_low_30d,48..inf,319224,12.493400559890825,0.3019227877603188,-0.33487290000976117,-0.10960711494078895,0.25268387705541745,-139.3767464539789,0.0,0.0
ema50_rel,1.38..inf,319393,12.500014676293793,0.30711693744070784,-0.33988120898533636,-0.09082678330932789,0.24767556807984226,-140.94357835838102,0.0,0.0
ret_16,1.63..inf,319364,12.498879709573757,0.3072356308162473,-0.3409573679519018,-0.09295279709031551,0.24659940911327682,-141.883090381964,0.0,0.0
btc_ret_24h,-inf..-2.55,295395,11.560810147072118,0.3219248802450955,-0.34189636592409806,-0.060640187844847454,0.24566041114108056,-134.95503753135762,0.0,0.0
ret_96,4.36..inf,319225,12.493439696674274,0.30550238859738427,-0.343328466925164,-0.09513704954366337,0.24422831014001462,-142.3186375115435,0.0,0.0
ret_1d_5,10.2..inf,318330,12.45841227548695,0.30658750353406844,-0.35038208102151913,-0.0941220907660346,0.23717469604365948,-144.8829464936443,0.0,0.0
ema20_rel,0.822..inf,319393,12.500014676293793,0.3044525083517798,-0.35393111430881014,-0.09966604065387576,0.23362566275636848,-147.1219453567988,0.0,0.0
ret_4,0.803..inf,319378,12.49942762454205,0.3046077062289826,-0.35787349157538556,-0.10378317513781231,0.22968328548979305,-149.3551911961562,0.0,0.0
atr_pct,0.658..0.807,319393,12.500014676293793,0.3069071645277135,-0.3699447961561867,-0.09392082890901361,0.21761198090899192,-154.85671513871367,0.0,0.0
dist_high_20,1.96..3.07,319359,12.49868402565651,0.3086557761015033,-0.370271978786393,-0.0910129110143147,0.2172847982787856,-154.56660659268067,0.0,0.0
dist_low_20,2.04..3.14,319350,12.498331794605464,0.30489744794113044,-0.3839814111543124,-0.10104339740163697,0.20357536591086622,-160.59228635159616,0.0,0.0
bb_width_pctile,0.751..0.879,318997,12.484516510047783,0.3067771797226933,-0.43210644767740236,-0.09469966121226744,0.15545032938777625,-178.40285450050496,0.0,0.0
up_from_low_30d,31.2..48,319163,12.491013216100404,0.29777261148692047,-0.43678350761510265,-0.11895744007601047,0.15077326945007596,-181.50601315557932,0.0,0.0
dd_30d,-33.6..-25.7,319225,12.493439696674274,0.29942830292113715,-0.4399303749180367,-0.11567395568487233,0.1476264021471419,-183.75520333369204,0.0,0.0
atr_pct,0.551..0.658,319392,12.499975539510345,0.29919346758841797,-0.4446344528576853,-0.11175090581092624,0.1429223242074933,-186.7457133331993,0.0,0.0
dist_high_20,1.39..1.96,319359,12.49868402565651,0.2984540908507354,-0.4577664988199489,-0.11483331144495101,0.1297902782452297,-191.21971548113433,0.0,0.0
btc_ret_24h,2.72..inf,295344,11.558814171116193,0.2979948805460751,-0.4639075905156987,-0.11392850749409138,0.12364918654947993,-183.19989153310829,0.0,0.0
dist_low_20,1.46..2.04,319347,12.498214384255116,0.296094843540099,-0.4652546003563232,-0.12238990110740826,0.1223021767088554,-194.65153526705015,0.0,0.0
rsi_1h,-inf..36.5,319388,12.499818992376547,0.29951657545054916,-0.48951965149750654,-0.1230910831203133,0.09803712556767208,-202.83615525591358,0.0,0.0
