feature,bucket,n,coverage_pct,win_rate,expectancy_r,gross_r,lift_r,t_stat,coins_positive,years_positive
atr_pct & dist_low_20,1.08..inf & -inf..0.288,9960,0.38980236315725825,0.34407630522088356,-0.13488580510690612,0.010884654705718392,0.4526709719582725,-9.655568927176967,0.07142857142857142,0.16666666666666666
atr_pct & ret_96,1.08..inf & -inf..-4.32,114092,4.465193897323084,0.3468779581390457,-0.13549090525254084,-0.00443267003911386,0.4520658718126378,-33.49700806129819,0.0,0.16666666666666666
ret_96 & ema50_rel,-inf..-4.32 & 1.38..inf,8037,0.31454232858382375,0.34440711708348887,-0.14030818704141046,-0.0008004123392729014,0.44724859002376816,-9.099810975583909,0.21428571428571427,0.3333333333333333
atr_pct & dist_low_20,1.08..inf & 0.524..0.777,11875,0.46474930346309656,0.34029473684210526,-0.15132542043148814,-0.003553393328548258,0.4362313566336905,-11.916490584337792,0.07142857142857142,0.0
atr_pct & dist_low_20,1.08..inf & 1.46..2.04,31819,1.2452933125804015,0.34275118639806407,-0.15225474837628372,-0.004131281798038837,0.4353020286888949,-19.73487166974903,0.0,0.0
dist_high_20 & ema50_rel,3.07..inf & 1.38..inf,27593,1.0799012657227136,0.330627333019244,-0.1534045196555802,-0.04345484947070705,0.4341522574095984,-18.75092897622112,0.07142857142857142,0.0
atr_pct & ema200_rel,1.08..inf & -inf..-3.06,116311,4.552038419797577,0.34030315275425366,-0.15673268944464508,-0.025062884354928986,0.43082408762053354,-39.36143775831327,0.0,0.16666666666666666
atr_pct & dist_low_20,1.08..inf & 1.08..1.46,21012,0.8223420938413967,0.34128117266324004,-0.15853745886163362,-0.009949902285516735,0.429019318203545,-16.708850716757635,0.0,0.0
atr_pct & ema20_rel,1.08..inf & -inf..-0.855,111714,4.3721266262801155,0.33891902536835133,-0.16012961931618386,-0.028315486624350458,0.42742715774899476,-39.45038630094734,0.0,0.0
atr_pct & ret_16,1.08..inf & -inf..-1.65,114599,4.485036246531992,0.33920016754072896,-0.16034775106590987,-0.0284299622790136,0.42720902599926874,-40.0566028638479,0.0,0.0
atr_pct & dist_high_20,1.08..inf & 3.07..inf,171817,6.724364721946851,0.3366372361291374,-0.16081845251647484,-0.033410107052250816,0.42673832454870375,-49.17279241815795,0.0,0.0
dist_high_20 & ema20_rel,3.07..inf & 0.394..0.822,7222,0.28264585007246174,0.33425643865965105,-0.16485906111409748,-0.03511650982428661,0.42269771595108113,-10.321278497322478,0.14285714285714285,0.0
dist_high_20 & ema20_rel,3.07..inf & 0.822..inf,16712,0.6540539250084437,0.32048827190043083,-0.16592397491837277,-0.06983610666947353,0.4216328021468059,-15.897684207251375,0.07142857142857142,0.0
atr_pct & ema50_rel,1.08..inf & -0.00927..0.272,10512,0.41140586762139547,0.3378995433789954,-0.16652036060850472,-0.019138387336121426,0.4210364164566739,-12.486062362545331,0.0,0.0
atr_pct & ema50_rel,1.08..inf & -inf..-1.44,115521,4.521120360872453,0.3373066368885311,-0.1674576220396552,-0.03569457210753391,0.4200991550255234,-42.117684040682974,0.0,0.0
ret_96 & ema50_rel,4.36..inf & -inf..-1.44,8419,0.3294925798615419,0.33258106663499226,-0.16786538846658136,-0.032948162947243884,0.4196913885985972,-11.280923057557844,0.0,0.0
dist_high_20 & ret_16,3.07..inf & 1.63..inf,23332,0.9131394314442921,0.32611863535059143,-0.1680417566816671,-0.05964835490429328,0.4195150203835115,-19.042725578876624,0.07142857142857142,0.0
atr_pct & ema20_rel,1.08..inf & 0.168..0.394,15022,0.5879127609787483,0.3349088004260418,-0.17025899940650482,-0.0235124972015586,0.4172977776586738,-15.226060956488393,0.0,0.0
