feature,bucket,n,coverage_pct,win_rate,expectancy_r,gross_r,lift_r,t_stat,coins_positive,years_positive
atr_pct & up_from_low_30d,1.08..inf & -inf..5.06,20918,0.8186510612368058,0.3663352136915575,-0.05949125305077365,0.08246706727166406,0.4764727057497342,-6.06247660361898,0.2857142857142857,0.16666666666666666
dist_low_20 & ema50_rel,3.14..inf & -inf..-1.44,35146,1.3754809349951609,0.3456723382461731,-0.1223641925129167,-0.006004755263817267,0.41359976628759115,-17.00725598851438,0.0,0.16666666666666666
atr_pct & dist_high_20,1.08..inf & 0.463..0.708,10119,0.3960192221366879,0.34973811641466546,-0.12466786998969451,0.024256823620019127,0.41129608881081337,-8.996964148217595,0.07142857142857142,0.0
atr_pct & dist_high_20,1.08..inf & -inf..0.241,8216,0.3215430308405008,0.3476144109055501,-0.1280686011958883,0.020099065632462016,0.40789535760461954,-8.328254173231986,0.07142857142857142,0.0
dist_low_20 & ret_16,3.14..inf & -inf..-1.65,28807,1.12739655421401,0.3444301732217864,-0.12838197434344384,-0.015003413400650234,0.407581984457064,-16.276876782419468,0.0,0.0
dist_low_20 & up_from_low_30d,3.14..inf & 48..inf,102439,4.009073336936473,0.34723103505500835,-0.13219883916599265,0.017639719689814294,0.4037651196345152,-30.34504138809474,0.0,0.0
atr_pct & dist_high_20,1.08..inf & 1..1.39,19640,0.7686349958261242,0.34663951120162934,-0.13364467366097296,0.01590876961049579,0.40231928513953485,-13.454338134712765,0.0,0.0
atr_pct & up_from_low_30d,1.08..inf & 48..inf,136105,5.326632693834757,0.3393776863451012,-0.13518285581454942,-0.005650636932654078,0.4007811029859584,-35.990556157462265,0.07142857142857142,0.0
atr_pct & ret_16,1.08..inf & 1.63..inf,100424,3.9302138910816034,0.3430156137974986,-0.13533179409566048,-0.00293978438286736,0.40063216470484736,-31.10475777060559,0.0,0.0
atr_pct & dist_low_20,1.08..inf & 3.14..inf,163188,6.3865584368061885,0.3421391278770498,-0.135980893551643,-0.008837180315110922,0.39998306524886484,-40.09390698906494,0.0,0.0
