feature,bucket,n,coverage_pct,win_rate,expectancy_r,gross_r,lift_r,t_stat,coins_positive,years_positive
atr_pct,2.18..340,79808,12.500019578268436,0.34561698075380914,-0.06745076806156343,-0.021784901370921837,0.13664641104285347,-14.132901440998365,0.14285714285714285,0.16666666666666666
dd_30d,-86.5..-33.6,79768,12.493754532369143,0.3428693210309899,-0.08528347939088653,-0.008792222873019272,0.11881369971353038,-17.524420491036445,0.07142857142857142,0.3333333333333333
dow,4,91306,14.30090702202007,0.3641491249205967,-0.09304857825093794,0.035742914200962914,0.11104860085347897,-20.657820781350573,0.14285714285714285,0.16666666666666666
ret_4,1.63..91.8,79801,12.49892319523606,0.33982030300372174,-0.0967515651726561,-0.012066147671654353,0.10734561393176081,-19.85115696855503,0.0,0.0
dist_low_20,6.59..2.4e+03,79775,12.49485091540152,0.33490441867753057,-0.10265481573001069,-0.03780636433325939,0.10144236337440622,-21.38211723168491,0.0,0.0
dist_high_20,6.43..90.6,79775,12.49485091540152,0.3364462550924475,-0.11150212125730552,-0.05005441137880877,0.09259505784711139,-23.565697165856623,0.0,0.0
ema200_rel,-57.7..-6.51,79808,12.500019578268436,0.3359562951082598,-0.1178253722509963,-0.04476184907380686,0.0862718068534206,-24.66705747865512,0.0,0.0
ret_16,3.46..133,79778,12.495320793843966,0.32912582416204966,-0.11947811721368014,-0.036495931591658475,0.08461906189073677,-24.598072016358877,0.0,0.0
ema50_rel,2.84..98.6,79808,12.500019578268436,0.32733560545308743,-0.11955926564162615,-0.03631252131306348,0.08453791346279076,-24.5149063122366,0.0,0.0
ret_96,8.99..458,79640,12.473706385491406,0.32695881466599697,-0.11986473359770301,-0.04037767797137035,0.0842324455067139,-24.612453092772093,0.0,0.0
ret_1d_5,-59..-9.87,79570,12.462742555167646,0.333643332914415,-0.12089766289500668,-0.04196500133330939,0.08319951620941023,-25.08682386887995,0.07142857142857142,0.0
ema20_rel,1.71..68,79808,12.500019578268436,0.3282252405773857,-0.12162639401419102,-0.036065452337004394,0.08247078509022589,-24.978210365300164,0.0,0.0
bb_width_pctile,0.879..1,79130,12.393827050275426,0.342512321496272,-0.12196393456408532,-0.029976414690181027,0.08213324454033159,-25.458691554853832,0.0,0.0
dist_low_20,4.3..6.59,79774,12.494694289254037,0.33346704440043123,-0.1224848296096399,-0.028862939323667364,0.08161234949477701,-25.2079191987908,0.0,0.0
ema200_rel,5.97..230,79808,12.500019578268436,0.3239023656776263,-0.12636798475047623,-0.04785420993145739,0.07772919435394068,-26.00504197050577,0.0,0.0
ema50_rel,-43.9..-3.02,79808,12.500019578268436,0.33301172814755414,-0.13074207881740071,-0.055228946954387986,0.0733551002870162,-27.491685313604375,0.0,0.0
ema20_rel,-40..-1.8,79808,12.500019578268436,0.3313076383319968,-0.1363479733148802,-0.05857745115931588,0.06774920578953672,-28.697654773284267,0.0,0.0
ret_96,-66.3..-8.81,79640,12.473706385491406,0.3301858362631843,-0.1366183646801133,-0.06058196854501737,0.06747881442430362,-28.66121931577234,0.0,0.0
ret_4,-40.3..-1.65,79801,12.49892319523606,0.3290685580381198,-0.13786273414146433,-0.057254524624230974,0.06623444496295258,-28.8638074788988,0.0,0.0
atr_pct,1.66..2.18,79808,12.500019578268436,0.3215843023255814,-0.1390866770190832,-0.06794909697919772,0.06501050208533371,-29.067864269185783,0.0,0.0
ret_16,-45.6..-3.48,79780,12.49563404613893,0.32938079719227875,-0.13956427461203597,-0.06324846617792641,0.06453290449238094,-29.421702925104015,0.0,0.0
btc_ret_24h,2.72..19.8,73800,11.559009684194699,0.3297560975609756,-0.1418681659213908,-0.02992677486170435,0.06222901318302612,-27.902635870746106,0.0,0.0
btc_ret_24h,-2.55..-1.27,73809,11.56041931952204,0.3379804630871574,-0.14534059579260664,-0.02342878441327878,0.05875658331181027,-28.84580914352925,0.0,0.16666666666666666
bb_width_pctile,0.75..0.879,79422,12.439561885340263,0.334453929641661,-0.14579143519039003,-0.033414657237320435,0.058305743914026875,-30.167191323385893,0.0,0.0
btc_ret_24h,-19.8..-2.55,73816,11.561515702554416,0.33206892814565947,-0.14718915469907684,-0.056649884931864083,0.05690802440534007,-29.759304933130984,0.0,0.0
ret_1d_5,10.2..392,79539,12.457887144595693,0.31785664893951393,-0.14831102889970588,-0.06873629730448247,0.05578615020471103,-30.696704673060644,0.07142857142857142,0.0
ema200_rel,2.69..5.97,79808,12.500019578268436,0.3298040296712109,-0.15445098467153429,-0.025810491003802907,0.04964619443288262,-31.470424139121388,0.0,0.0
atr_pct,1.37..1.66,79808,12.500019578268436,0.32066960705693665,-0.15483886539885744,-0.06588836428272392,0.04925831370555947,-32.2038606129661,0.0,0.0
ret_96,4.3..8.99,79640,12.473706385491406,0.3272099447513812,-0.16202408117849665,-0.036550426293712905,0.04207309792592026,-33.14522148302333,0.0,0.0
trend_1h,1,186692,29.24084872576798,0.3295106378420072,-0.1673714564807203,-0.02589159588270175,0.03672572262369661,-52.120584957909436,0.07142857142857142,0.0
wick_lower_pct,4.82..11.5,79804,12.499393073678506,0.32995839807528443,-0.16833227823342098,-0.035729625222724874,0.03576490087099593,-34.60099857317265,0.0,0.0
hour,2,26586,4.164062756964773,0.3316030993756112,-0.16889464146037877,-0.032508046066011764,0.035202537644038134,-20.017375178234598,0.0,0.0
ema50_rel,1.34..2.84,79808,12.500019578268436,0.3245163392141139,-0.1691967218333266,-0.04270204307079485,0.03490045727109031,-34.649750281776285,0.07142857142857142,0.0
rsi,63.2..100,79808,12.500019578268436,0.3276237971130714,-0.17043156829633824,-0.029253690244714012,0.03366561080807867,-34.64725465959487,0.0,0.0
rsi_1h,63.2..100,79808,12.500019578268436,0.3276237971130714,-0.17043156829633824,-0.029253690244714012,0.03366561080807867,-34.64725465959487,0.0,0.0
up_from_low_30d,17.3..23,79768,12.493754532369143,0.3282017851770133,-0.1707074107881742,-0.04073762074961579,0.03338976831624271,-35.10699781814821,0.0,0.0
ret_1d_5,4.78..10.2,79572,12.46305580746261,0.32415925199819035,-0.17155723353963753,-0.04634428927618588,0.03253994556477938,-35.20814524769839,0.0,0.0
consec_up,5,12728,1.9935376051548797,0.3308453802639849,-0.1720338280359119,-0.024613739292167758,0.032063351068505,-14.030548175664231,0.07142857142857142,0.0
bb_pos,0.894..1.59,79775,12.49485091540152,0.32836101535568785,-0.17220871578883923,-0.028343541588338655,0.03188846331557768,-35.043992104758715,0.0,0.0
ema_stack,1,209506,32.81411765442947,0.3281338004639485,-0.17256029075930407,-0.03233331310978869,0.03153688834511284,-57.11162972765984,0.0,0.0
consec_up,4,16217,2.54000623372067,0.3307640130727015,-0.17271016478677179,-0.029870271930166184,0.03138701431764512,-15.944019257689307,0.0,0.0
dist_low_20,3.09..4.3,79775,12.49485091540152,0.32076465057975556,-0.17366330418565581,-0.06353328273796982,0.030433874918761095,-36.00824183042786,0.0,0.0
btc_trend_1h,1,200373,31.3836510494735,0.32643619649353955,-0.17383026568345902,-0.03422713013616563,0.030266913420957886,-56.14518988424391,0.0,0.0
ema20_rel,0.807..1.71,79808,12.500019578268436,0.323363572574178,-0.17413836908358313,-0.0482187032784628,0.02995881002083378,-35.76773022758581,0.0,0.0
hour,16,26610,4.167821784504349,0.33043968432919957,-0.17529202398032276,-0.040430906558066665,0.02880515512409415,-20.917783600815042,0.0,0.0
bb_width_pctile,0.618..0.75,79995,12.529308667847628,0.3245327832989562,-0.17568555160902158,-0.05271304634454793,0.02841162749539533,-36.43290538142134,0.0,0.0
ret_16,1.65..3.46,79780,12.49563404613893,0.32283780396089246,-0.17576341815276608,-0.05045662854408624,0.028333760951650827,-36.11562360627971,0.0,0.0
dist_high_20,4.22..6.43,79774,12.494694289254037,0.31639381252037,-0.1759279792745143,-0.08525413698356062,0.028169199829902597,-36.9360484450396,0.0,0.0
consec_up,3,36688,5.7463000988310995,0.3288541212385521,-0.17693522884736176,-0.03731724326336164,0.027161950257055145,-24.65883001228751,0.0,0.0
body_pct,76.5..100,79804,12.499393073678506,0.32977043757205154,-0.17766272551903523,-0.03659580458041009,0.026434453585381684,-36.49289973761731,0.0,0.0
btc_ret_24h,-1.27..-0.497,73807,11.560106067227075,0.327543457937594,-0.17782975359116754,-0.041601115007438225,0.02626742551324937,-35.23493234914588,0.0,0.0
hour,20,26600,4.166255523029526,0.32913533834586467,-0.1779749774063102,-0.042113035424295384,0.026122201698106723,-21.21793271141471,0.0,0.0
hour,21,26601,4.166412149177008,0.3282583361527762,-0.17967544624254164,-0.04309899791991214,0.024421732861875267,-21.416076164655955,0.0,0.0
dow,2,91150,14.27647334301283,0.3235874931431706,-0.1800711376287739,-0.05202696918064343,0.024026041475643023,-39.615715729507826,0.0,0.0
atr_pct,1.17..1.37,79807,12.499862952120953,0.3153733381783553,-0.18078376304579372,-0.07513771066479595,0.023313416058623193,-37.538162949487656,0.0,0.0
wick_lower_pct,-0.001..4.82,79805,12.49954969982599,0.3290270033205939,-0.1815735113647486,-0.03697943016492759,0.022523667739668296,-37.24614116613408,0.0,0.0
up_from_low_30d,12.5..17.3,79767,12.49359790622166,0.3307508117391904,-0.18160435421772844,-0.03497815078226282,0.022492824886688467,-37.32782898522893,0.0,0.0
hour,18,26603,4.166725401471973,0.32684283727399166,-0.18205424601276984,-0.047365414412249424,0.022042933091647066,-21.757616378085434,0.0,0.0
hour,17,26605,4.167038653766937,0.32708137568126294,-0.1830586017293817,-0.048618395401588244,0.0210385773750352,-21.900446116601437,0.0,0.0
hour,1,26611,4.167978410651831,0.32685731464432,-0.18383659087557977,-0.047901513773327194,0.02026058822883714,-21.926205722936764,0.0,0.0
ret_4,0.785..1.63,79801,12.49892319523606,0.320910765529254,-0.18396512329967413,-0.06053741968542301,0.020132055804742782,-38.10257730926297,0.0,0.0
hour,15,26609,4.167665158356867,0.32706978841745277,-0.18410966064853115,-0.047768960999034424,0.019987518455885755,-21.984967633048193,0.0,0.0
dd_30d,-33.6..-25.7,79773,12.494537663106554,0.3146427989419979,-0.1845553643583094,-0.08476010747310761,0.0195418147461075,-38.55906022219058,0.0,0.0
vol_ratio,1.68..18.2,79775,12.49485091540152,0.3245628329677217,-0.18469170840725416,-0.04913255665644082,0.019405470697162752,-37.9688112758548,0.0,0.0
wick_lower_pct,11.5..18.1,79804,12.499393073678506,0.32561024510049624,-0.1850476847863822,-0.049477797841366196,0.01904949431803471,-38.20238883703489,0.0,0.0
up_from_low_30d,48..4.19e+03,79768,12.493754532369143,0.3029911744057768,-0.18634178850951091,-0.11596505627741843,0.017755390594905995,-39.249650793065534,0.0,0.0
up_from_low_30d,8.62..12.5,79768,12.493754532369143,0.3345075719586802,-0.18654257282063375,-0.02042441277983147,0.017554606283783164,-38.11648675411057,0.0,0.0
vol_ratio,1.22..1.68,79774,12.494694289254037,0.3252814200115326,-0.18804817212745395,-0.04561509151124788,0.01604900697696296,-38.587776758793495,0.0,0.0
rsi_1h,49.7..53.4,79807,12.499862952120953,0.3257107772501159,-0.189960351326829,-0.04639726161775286,0.014136827777587901,-39.09659290254397,0.0,0.0
rsi,49.7..53.4,79807,12.499862952120953,0.3257107772501159,-0.189960351326829,-0.04639726161775286,0.014136827777587901,-39.09659290254397,0.0,0.0
above_ema20_1d,1,275479,43.1472144822801,0.32340759186725665,-0.19007275561838574,-0.05001655627231106,0.014024423486031168,-72.71026368916637,0.0,0.0
body_pct,53.8..64.6,79789,12.497043681466272,0.32365363646617956,-0.19017189325862774,-0.054269173568156685,0.01392528584578917,-39.29829569295047,0.0,0.0
wick_upper_pct,53.8..100,79804,12.499393073678506,0.32396872337226207,-0.19042066250127943,-0.05208372350565541,0.013676516603137484,-39.287984365491134,0.0,0.0
hour,19,26601,4.166412149177008,0.3233337092590504,-0.19112040252561666,-0.05592232075306891,0.012976776578800253,-22.869070104815748,0.0,0.0
hour,14,26615,4.16860491524176,0.32545557016719895,-0.19166657691967798,-0.05303544876947896,0.012430602184738931,-22.875516701928266,0.0,0.0
atr_pct,0.984..1.17,79808,12.500019578268436,0.31699829591018447,-0.19206148168083514,-0.06758520205761491,0.012035697423581765,-39.718661031503764,0.0,0.0
bb_width_pctile,0.489..0.618,78975,12.36954999741567,0.32092434314656537,-0.19221071864287886,-0.060734935355037274,0.011886460461538045,-39.553156767069616,0.0,0.0
up_from_low_30d,31.2..48,79765,12.493284653926695,0.30865667899454646,-0.1926836303095942,-0.09369532903987642,0.011413548794822703,-40.161848086538654,0.0,0.0
bb_pos,0.633..0.758,79775,12.49485091540152,0.3236101535568787,-0.19278122886929136,-0.049554427711554494,0.01131595023512555,-39.61885871988669,0.0,0.0
body_pct,64.6..76.5,79805,12.49954969982599,0.32363886974500344,-0.19368617331751597,-0.055242373660972365,0.010411005786900934,-40.00349004543422,0.0,0.0
hour,3,26587,4.164219383112256,0.3233159062699816,-0.19418736278484108,-0.056456151694335176,0.009909816319575826,-23.14890786901068,0.0,0.0
trend_4h,1,266604,41.75715742337457,0.3229809005116202,-0.19431512689846245,-0.054356336046378885,0.009782052205954461,-73.33455541011828,0.0,0.0
bb_pos,0.494..0.633,79774,12.494694289254037,0.3240654849951112,-0.19464852588497797,-0.05279445655079368,0.00944865321943894,-40.18039957525282,0.0,0.0
vol_ratio,0.981..1.22,79775,12.49485091540152,0.3233093074271388,-0.19486163558944733,-0.051231651669490855,0.00923554351496958,-40.05867184196747,0.0,0.0
dist_high_20,3.01..4.22,79773,12.494537663106554,0.3134268486831384,-0.19494069588105933,-0.08643660371366711,0.009156483223357575,-40.71718411056258,0.0,0.0
dist_low_20,2.27..3.09,79774,12.494694289254037,0.31784792037505954,-0.1961603949088252,-0.07015809948377057,0.007936784195591712,-40.75387488962703,0.0,0.0
dd_30d,-4.52..0,79768,12.493754532369143,0.3389579781365961,-0.1969985629324298,0.004792759796786402,0.007098616171987121,-39.67778250186756,0.14285714285714285,0.0
up_from_low_30d,23..31.2,79769,12.493911158516624,0.31393147714024244,-0.1977549236871076,-0.08165266124877653,0.006342255417309317,-41.19567324950435,0.0,0.0
bullish,1,311103,48.72686436019002,0.32180660424361063,-0.1981107340044952,-0.05884880851559637,0.005986445099921717,-80.89743770190866,0.0,0.0
wick_upper_pct,40..53.8,79713,12.485140094257616,0.32085105315318707,-0.19888224361251866,-0.06145743463092711,0.005214935491898248,-41.11493891440706,0.0,0.0
consec_up,2,79638,12.473393133196442,0.3216554910972149,-0.19888760933297836,-0.059881518669256686,0.005209569771438549,-41.120197907559685,0.0,0.0
wick_lower_pct,18.1..25,81596,12.780067129966811,0.321755968429825,-0.1994581193494762,-0.06044338033780052,0.004639059754940722,-41.73693942814462,0.0,0.0
dist_high_20,1.54..2.18,79775,12.49485091540152,0.32,-0.20043515090963696,-0.05819187401735304,0.0036620281947799538,-41.29256238225972,0.0,0.0
ret_4,-1.65..-0.796,79801,12.49892319523606,0.31472036691269534,-0.20120646031649153,-0.08169833521009676,0.002890718787925378,-41.95242103694237,0.0,0.0
hour,23,26600,4.166255523029526,0.32093984962406014,-0.20152614912303107,-0.06345532801869343,0.002571029981385836,-24.104661098995248,0.0,0.0
wick_upper_pct,3.74..10,79804,12.499393073678506,0.3192571800912235,-0.2016660949079048,-0.070377668759351,0.002431084196512112,-41.912524268840315,0.0,0.0
consec_down,0,331113,51.8609535713111,0.3210474973800485,-0.20172756512484047,-0.06073186119125494,0.0023696139795764404,-85.00289291287999,0.0,0.0
consec_down,1,166099,26.015446470664706,0.32068826422796043,-0.2020038546344102,-0.06359379814991059,0.0020933244700067077,-60.35188366788932,0.0,0.0
body_pct,33.3..43.9,79780,12.49563404613893,0.32025570318375535,-0.20217957029550634,-0.06413815922470731,0.0019176088089105647,-41.86945957590281,0.0,0.0
wick_upper_pct,16.5..23.1,79823,12.50236897048067,0.32002054545682324,-0.2022503756961646,-0.06440804806691426,0.001846803408252301,-41.870642060386565,0.0,0.0
wick_upper_pct,10..16.5,79804,12.499393073678506,0.31931983359230115,-0.20225831001250555,-0.06804091075290916,0.0018388690919113604,-41.959201376126295,0.0,0.0
rsi_1h,53.4..57.5,79808,12.500019578268436,0.3202561146752205,-0.20244653904134025,-0.057197898600482994,0.0016506400630766638,-41.68058235308251,0.0,0.0
rsi,53.4..57.5,79808,12.500019578268436,0.3202561146752205,-0.20244653904134025,-0.057197898600482994,0.0016506400630766638,-41.68058235308251,0.0,0.0
bb_pos,0.758..0.894,79774,12.494694289254037,0.3196028781307193,-0.20255586111659,-0.05877310602284772,0.0015413179878269179,-41.67573152472914,0.0,0.0
dist_high_20,2.18..3.01,79776,12.495007541549,0.3144053349378259,-0.20284956496824158,-0.0776527064658768,0.001247614136175329,-42.12559225571334,0.0,0.0
