feature,bucket,n,coverage_pct,win_rate,expectancy_r,gross_r,lift_r,t_stat,coins_positive,years_positive
dow & ema200_rel,4 & 5.97..230,11475,1.7972850423595417,0.42440087145969496,0.1662509278752412,0.2449824565364385,0.37034810697965814,12.393416559491172,1.0,0.8333333333333334
dow & ema200_rel,4 & 2.69..5.97,10906,1.7081647644421054,0.43324775353016687,0.14053949625439138,0.2673569414730479,0.34463667535880826,10.18875570782609,0.7857142857142857,0.8333333333333334
dow & dist_low_20,4 & 6.59..2.4e+03,11997,1.879043891345309,0.4045177961156956,0.08253322870344662,0.14816173859809825,0.28663040780786353,6.51179824869535,0.7857142857142857,0.5
dow & ret_4,4 & 1.63..91.8,12407,1.9432606118130573,0.4058192955589586,0.07442850618491055,0.15771168982356648,0.2785256852893275,5.9254285475905935,0.7857142857142857,0.6666666666666666
dd_30d & dow,-86.5..-33.6 & 0,11749,1.8402006067696954,0.3896501829942974,0.060735967716777854,0.1365432967774035,0.26483314682119474,4.61597453816528,0.7142857142857143,0.6666666666666666
dd_30d & dow,-4.52..0 & 4,11484,1.7986946776868824,0.4212817833507489,0.045759824588849043,0.22901935068493362,0.24985700369326597,3.3983353676579386,0.7142857142857143,0.6666666666666666
dd_30d & bb_width_pctile,-86.5..-33.6 & 0.879..1,11114,1.7407430031184266,0.3879791254273889,0.032153063167993344,0.07877266240966312,0.23625024227241026,2.491202069215917,0.7142857142857143,0.5
dow & dist_low_20,4 & 4.3..6.59,12232,1.9158510360036525,0.39020601700457813,0.027651973363205552,0.11910509627208923,0.23174915246762245,2.199665696871316,0.5714285714285714,0.6666666666666666
dow & ema200_rel,0 & -57.7..-6.51,11893,1.8627547720071485,0.3818212393845119,0.026664916796237254,0.10031867360268899,0.23076209590065416,2.0623948063847366,0.7142857142857143,0.5
atr_pct & dow,2.18..340 & 4,11835,1.8536704554531742,0.37583438952260245,0.0019334081882856288,0.04809280899057103,0.20603058729270254,0.15616435688706548,0.42857142857142855,0.5
bb_width_pctile & dow,0.879..1 & 4,12745,1.996200249662079,0.3921537857983523,-0.0030793787023972604,0.08631158405635782,0.20101780040201964,-0.25676368959477486,0.42857142857142855,0.5
atr_pct & dow,2.18..340 & 6,8409,1.31706927417877,0.3591390177191105,-0.013752579191389724,0.031550499298852105,0.19034459991302718,-0.9105160168640415,0.42857142857142855,0.3333333333333333
dd_30d & dist_low_20,-86.5..-33.6 & 6.59..2.4e+03,18064,2.829294728120502,0.3646479185119575,-0.016012623820188532,0.03343229253447628,0.18808455528422838,-1.5766729800833414,0.5,0.6666666666666666
dow & ema200_rel,3 & 5.97..230,11071,1.7340080787766872,0.3601300695510794,-0.018383048535167385,0.0567798224662663,0.1857141305692495,-1.3758531835633145,0.35714285714285715,0.5
atr_pct & bb_width_pctile,2.18..340 & 0.879..1,26371,4.130388135256076,0.36995184103750334,-0.022684353168028287,0.01937101650778687,0.18141282593638863,-2.7586131393707634,0.2857142857142857,0.16666666666666666
atr_pct & dist_low_20,2.18..340 & 4.3..6.59,13854,2.169898647219964,0.36061787209470186,-0.023728052985353798,0.02463810196100665,0.1803691261190631,-2.039092475457486,0.5,0.3333333333333333
dist_low_20 & ema200_rel,6.59..2.4e+03 & -57.7..-6.51,15321,2.3996692055765174,0.37530187324587166,-0.02409918432019177,0.020204430211450644,0.17999799478422512,-2.2521724079538443,0.35714285714285715,0.16666666666666666
ret_4 & ema200_rel,1.63..91.8 & -57.7..-6.51,11522,1.8046464712912103,0.36972747786842564,-0.026126208059838292,0.028520324724727587,0.17797097104457862,-2.076527190569691,0.42857142857142855,0.16666666666666666
dd_30d & ret_4,-86.5..-33.6 & 1.63..91.8,14576,2.282982725702194,0.36107299670691545,-0.026631311784256897,0.03503366275519423,0.17746586732016,-2.3318856629284257,0.42857142857142855,0.5
atr_pct & ema200_rel,2.18..340 & -57.7..-6.51,29637,4.64192913293331,0.3658602422647366,-0.030360671509191226,0.013615226054327453,0.1737365075952257,-3.88305992117482,0.2857142857142857,0.5
dow & dist_high_20,6 & 6.43..90.6,7204,1.128334766462583,0.359106052193226,-0.03088628597688756,0.02736598006930169,0.17321089312752935,-1.899208368585539,0.5714285714285714,0.3333333333333333
ret_4 & dist_high_20,1.63..91.8 & 6.43..90.6,8314,1.3021897901679502,0.36733221072889105,-0.033008142587730716,0.010768841844567391,0.1710890365166862,-2.253161903793712,0.42857142857142855,0.6666666666666666
dd_30d & ema200_rel,-86.5..-33.6 & -57.7..-6.51,39087,6.122046226641168,0.3584823598638934,-0.0381023685822537,0.023337726173453012,0.1659948105221632,-5.478598231513622,0.42857142857142855,0.3333333333333333
dd_30d & dow,-86.5..-33.6 & 4,11320,1.773007989499783,0.3695229681978799,-0.0385692041732729,0.033940141383110765,0.16552797493114402,-3.0385284273705087,0.2857142857142857,0.6666666666666666
atr_pct & dd_30d,2.18..340 & -86.5..-33.6,28868,4.521483625519411,0.3570042954136068,-0.040023513686408045,0.0035097034867958205,0.16407366541800886,-5.025650879434805,0.2857142857142857,0.6666666666666666
dow & dist_low_20,2 & 6.59..2.4e+03,13335,2.0886096766766435,0.3574053243344582,-0.041779016814889776,0.023687529045304547,0.16231816228952714,-3.5088445590784674,0.35714285714285715,0.3333333333333333
atr_pct & ret_4,2.18..340 & -40.3..-1.65,26136,4.093580990597732,0.35541016222834404,-0.042945054565917955,0.0007825316664591739,0.16115212453849895,-5.143787219850268,0.2857142857142857,0.3333333333333333
bb_width_pctile & dow,0.75..0.879 & 4,11867,1.8586824921726082,0.3812252464818404,-0.04297994571533127,0.06706594127479328,0.16111723338908562,-3.464993716000789,0.35714285714285715,0.3333333333333333
dd_30d & bb_width_pctile,-86.5..-33.6 & 0.75..0.879,9958,1.5596831766288728,0.3564972886121711,-0.04342274001484594,0.01928872437660183,0.16067443908957096,-3.149283345635087,0.2857142857142857,0.5
dd_30d & dow,-8.28..-4.52 & 4,11029,1.72742978058243,0.39169462326593524,-0.04381296899329229,0.12364581566307041,0.16028421011112462,-3.3043488680543107,0.6428571428571429,0.3333333333333333
dow & dist_high_20,4 & 1.02..1.54,11078,1.7351044618090634,0.38219895287958117,-0.04622159055520092,0.10709131216333986,0.157875588549216,-3.4886770109439604,0.42857142857142855,0.3333333333333333
atr_pct & dd_30d,2.18..340 & -8.28..-4.52,6600,1.0337325733832659,0.3437878787878788,-0.0463810926960623,0.0014968594706185026,0.1577160864083546,-2.7192512118158985,0.5,0.16666666666666666
atr_pct & dow,2.18..340 & 2,12872,2.016091770392333,0.3540242386575513,-0.04697630861106916,-0.0010955911610915352,0.15712087049334775,-3.942282107541022,0.21428571428571427,0.5
atr_pct & bb_width_pctile,2.18..340 & 0.358..0.489,6591,1.032322938055925,0.3463814292216659,-0.04737912509708752,0.0015771233892130027,0.15671805400732938,-2.7904945959532377,0.2857142857142857,0.5
atr_pct & dd_30d,1.37..1.66 & -4.52..0,7161,1.1215998421208433,0.35134757715402876,-0.047548271454949005,0.04142683471638105,0.1565489076494679,-2.849173601881816,0.2857142857142857,0.3333333333333333
dd_30d & ema200_rel,-86.5..-33.6 & -3.59..-1.84,8073,1.2644428886247128,0.35600148643626905,-0.04909693185357179,0.049283831494213955,0.1550002472508451,-3.1383917355750777,0.42857142857142855,0.3333333333333333
