feature,bucket,n,coverage_pct,win_rate,expectancy_r,gross_r,lift_r,t_stat,coins_positive,years_positive
up_from_low_30d & dow,48..inf & 0,11699,1.8323434700347079,0.4510641935208137,0.25595781623957803,0.3282782368673812,0.38218199272074616,18.862468840713053,0.9285714285714286,1.0
up_from_low_30d & dow,48..inf & 1,11390,1.783946672681026,0.4142230026338894,0.1415810367792004,0.20709597232556765,0.2678052132603685,10.476674970703112,0.8571428571428571,0.8333333333333334
dow & ret_1d_5,1 & 10.2..inf,11835,1.853644325827914,0.4100549218419941,0.1152219830692623,0.19037517847935717,0.24144615955043042,8.73635065700818,0.8571428571428571,0.8333333333333334
atr_pct & up_from_low_30d,1.66..2.18 & 48..inf,19148,2.9990351965317195,0.3983183622310424,0.09956804749783683,0.1695728490208577,0.22579222397900495,9.558776036117436,0.7142857142857143,0.8333333333333334
up_from_low_30d & dow,31.2..48 & 1,11243,1.7609229535516044,0.40558569776749975,0.09746534923085064,0.19110780474983405,0.22368952571201872,7.158453926955707,0.7142857142857143,0.6666666666666666
dd_30d & up_from_low_30d,-33.6..-25.7 & -inf..5.06,12367,1.936968261724868,0.407455324654322,0.09304837711929492,0.20473980230890165,0.21927255360046302,7.11530448448172,0.7142857142857143,0.8333333333333334
ema200_rel & dow,5.97..inf & 1,10646,1.6674184615770151,0.4029682509862859,0.09232982464849969,0.16666428119456458,0.21855400112966777,6.664465082602248,0.7857142857142857,0.6666666666666666
dow & ret_1d_5,2 & 10.2..inf,10843,1.6982733776892331,0.4039472470718436,0.08708317674408668,0.158972720921701,0.2133073532252548,6.389970073199698,0.5714285714285714,0.6666666666666666
dd_30d & up_from_low_30d,-16.2..-12.2 & 31.2..48,9200,1.4409402448345425,0.40108695652173915,0.07647564571452103,0.17403216056635099,0.20269982219568913,5.110998193188765,0.6428571428571429,0.8333333333333334
dow & ret_1d_5,6 & -9.87..-5.37,10776,1.6877795737322858,0.4098923533778768,0.07541713282929087,0.2266996840770845,0.20164130931045898,5.306193848249699,0.7142857142857143,0.6666666666666666
up_from_low_30d & dow,31.2..48 & 0,11323,1.7734528687240787,0.40033560010597896,0.07493966208865545,0.1747934863561152,0.20116383856982356,5.532383692756401,0.7142857142857143,1.0
up_from_low_30d & dist_low_20,48..inf & 1.65..2.27,6544,1.0249470611083964,0.3968520782396088,0.07453787823314019,0.16105557164440326,0.2007620547143083,4.207082965503442,0.7142857142857143,0.8333333333333334
up_from_low_30d & dist_low_20,48..inf & 3.09..4.3,10224,1.6013231590422132,0.39456181533646323,0.07232489028200192,0.14949963038483594,0.19854906676317002,5.112115709874372,0.7142857142857143,0.8333333333333334
up_from_low_30d & ret_1d_5,48..inf & 4.78..10.2,10538,1.6505030760941748,0.39314860504839627,0.07013322251442355,0.15278041267321735,0.19635739899559165,5.022750933774918,0.6428571428571429,0.6666666666666666
up_from_low_30d & dist_low_20,48..inf & 2.27..3.09,8057,1.261919081807816,0.3945637333995284,0.06889569795412968,0.15102674990877799,0.19511987443529777,4.319299279484597,0.7142857142857143,0.8333333333333334
dist_high_20 & up_from_low_30d,4.22..6.43 & 48..inf,14139,2.2145058827951734,0.39090459014074547,0.06660342703492914,0.13028004442245075,0.19282760351609723,5.586791692367286,0.6428571428571429,0.8333333333333334
atr_pct & up_from_low_30d,0.807..0.984 & 31.2..48,6888,1.0788256963500358,0.4091173054587689,0.06637195700354918,0.2141815516227612,0.19259613348471727,3.770951355276664,0.5714285714285714,0.8333333333333334
dd_30d & up_from_low_30d,-inf..-33.6 & 48..inf,11892,1.8625718903883022,0.3923646148671376,0.0655348168853725,0.12204101735994395,0.1917589933665406,5.094788505575339,0.6923076923076923,0.6666666666666666
dd_30d & dow,-33.6..-25.7 & 6,11318,1.772669749025799,0.39733168404311714,0.06059063898034312,0.17666348707331608,0.1868148154615112,4.439015477130676,0.6428571428571429,0.6666666666666666
